DB,Mode,sql,Rows,Min_ms,Max_ms,Avg_ms,Med_ms,query,rows
HSQLDB,ROUND_ROBIN,SELECT * FROM crash_data WHERE id = 4455765;,1,0,0,0.0,0.0,Select by id,100000
SQLite,ROUND_ROBIN,SELECT * FROM crash_data WHERE id = 4455765;,1,0,0,0.0,0.0,Select by id,100000
Postgres,ROUND_ROBIN,SELECT * FROM crash_data WHERE id = 4455765;,1,0,1,0.02,0.0,Select by id,100000
HSQLDB,ROUND_ROBIN,SELECT * FROM crash_data WHERE id = 4455765;,1,0,0,0.0,0.0,Select by id,300000
SQLite,ROUND_ROBIN,SELECT * FROM crash_data WHERE id = 4455765;,1,0,0,0.0,0.0,Select by id,300000
Postgres,ROUND_ROBIN,SELECT * FROM crash_data WHERE id = 4455765;,1,0,1,0.02,0.0,Select by id,300000
HSQLDB,ROUND_ROBIN,SELECT * FROM crash_data WHERE id = 4455765;,1,0,0,0.0,0.0,Select by id,900000
SQLite,ROUND_ROBIN,SELECT * FROM crash_data WHERE id = 4455765;,1,0,0,0.0,0.0,Select by id,900000
Postgres,ROUND_ROBIN,SELECT * FROM crash_data WHERE id = 4455765;,1,0,1,0.02,0.0,Select by id,900000
HSQLDB,ROUND_ROBIN,SELECT * FROM crash_data WHERE id = 4455765;,1,0,0,0.0,0.0,Select by id,1800000
SQLite,ROUND_ROBIN,SELECT * FROM crash_data WHERE id = 4455765;,1,0,0,0.0,0.0,Select by id,1800000
Postgres,ROUND_ROBIN,SELECT * FROM crash_data WHERE id = 4455765;,1,0,1,0.02,0.0,Select by id,1800000
