DB,Mode,sql,runs,Rows,Min_ms,Max_ms,Avg_ms,Med_ms,query,rows
HSQLDB,SEQUENTIAL,SELECT * FROM crash_data WHERE id = 4455765;,50,1,0,3,0.14,0,Select by id,100000
HSQLDB,SEQUENTIAL,SELECT * FROM crash_data WHERE crash_date BETWEEN '2021-09-01' AND '2021-09-30';,50,9875,35,128,42.36,38.5,Date range,100000
HSQLDB,SEQUENTIAL,SELECT COUNT(id) AS total_crashes_2024 FROM crash_data WHERE EXTRACT(YEAR FROM crash_date) = 2024;,50,1,22,45,24.66,24,Count 2024,100000
HSQLDB,SEQUENTIAL,"SELECT borough, COUNT(id) AS total_crashes FROM crash_data GROUP BY borough ORDER BY total_crashes DESC;",50,6,23,47,26.06,25,Group by borough,100000
HSQLDB,SEQUENTIAL,"SELECT crash_time, COUNT(id) AS total_crashes FROM crash_data WHERE crash_time != '00:00:00' GROUP BY crash_time ORDER BY total_crashes DESC LIMIT 1;",50,1,41,48,44.08,44,Group by crash_time,100000
HSQLDB,SEQUENTIAL,"SELECT id, crash_date, crash_time, (SELECT COUNT(*) FROM crash_data) AS total_crashes_in_table FROM crash_data;",50,100000,47,89,50.54,49,Full table select,100000
HSQLDB,ROUND_ROBIN,SELECT * FROM crash_data WHERE id = 4455765;,50,1,0,0,0,0,Select by id,100000
HSQLDB,ROUND_ROBIN,SELECT * FROM crash_data WHERE crash_date BETWEEN '2021-09-01' AND '2021-09-30';,50,9875,36,43,37.96,38,Date range,100000
HSQLDB,ROUND_ROBIN,SELECT COUNT(id) AS total_crashes_2024 FROM crash_data WHERE EXTRACT(YEAR FROM crash_date) = 2024;,50,1,21,23,21.44,21,Count 2024,100000
HSQLDB,ROUND_ROBIN,"SELECT borough, COUNT(id) AS total_crashes FROM crash_data GROUP BY borough ORDER BY total_crashes DESC;",50,6,24,26,24.9,25,Group by borough,100000
HSQLDB,ROUND_ROBIN,"SELECT crash_time, COUNT(id) AS total_crashes FROM crash_data WHERE crash_time != '00:00:00' GROUP BY crash_time ORDER BY total_crashes DESC LIMIT 1;",50,1,43,48,44.94,45,Group by crash_time,100000
HSQLDB,ROUND_ROBIN,"SELECT id, crash_date, crash_time, (SELECT COUNT(*) FROM crash_data) AS total_crashes_in_table FROM crash_data;",50,100000,47,56,50.1,50,Full table select,100000
SQLite,SEQUENTIAL,SELECT * FROM crash_data WHERE id = 4455765;,50,1,0,1,0.02,0,Select by id,100000
SQLite,SEQUENTIAL,SELECT * FROM crash_data WHERE crash_date BETWEEN '2021-09-01' AND '2021-09-30';,50,0,9,11,9.4,9,Date range,100000
SQLite,SEQUENTIAL,"SELECT COUNT(id) AS total_crashes_2024 FROM crash_data WHERE strftime('%Y', crash_date) = '2024';",50,1,10,15,11.28,11,Count 2024,100000
SQLite,SEQUENTIAL,"SELECT borough, COUNT(id) AS total_crashes FROM crash_data GROUP BY borough ORDER BY total_crashes DESC;",50,6,45,50,46.66,46,Group by borough,100000
SQLite,SEQUENTIAL,"SELECT crash_time, COUNT(id) AS total_crashes FROM crash_data WHERE crash_time != '00:00:00' GROUP BY crash_time ORDER BY total_crashes DESC LIMIT 1;",50,1,38,52,41.32,39,Group by crash_time,100000
SQLite,SEQUENTIAL,"SELECT id, crash_date, crash_time, (SELECT COUNT(*) FROM crash_data) AS total_crashes_in_table FROM crash_data;",50,100000,21,23,21.74,22,Full table select,100000
